description,category
cash withdrawal,Other
atm withdrawal fee,Other
bank transfer,Other
unknown card charge,Other
miscellaneous expense,Other
personal transfer,Other
sent money to friend,Other
gift money transfer,Other
charity donation,Other
religious donation,Other
crowdfunding contribution,Other
legal document fee,Other
notary service payment,Other
passport renewal fee,Other
visa application fee,Other
government service payment,Other
post office stamps,Other
courier parcel delivery,Other
printing documents,Other
photocopy service,Other
laundry service payment,Other
dry cleaning clothes,Other
haircut at salon,Other
barber shop payment,Other
spa massage service,Other
beauty salon appointment,Other
pet grooming service,Other
veterinary visit,Other
home cleaning service,Other
house repair labor,Other
plumber service call,Other
electrician repair fee,Other
carpet cleaning service,Other
storage unit rental,Other
moving service payment,Other
hotel booking deposit,Other
travel agency fee,Other
currency exchange fee,Other
foreign transaction fee,Other
late payment fee,Other
service charge adjustment,Other
membership dues general,Other
subscription unknown,Other
mobile wallet top up,Other
prepaid card reload,Other
cash deposit,Other
refund adjustment,Other
account verification charge,Other
small balance correction,Other
tips paid in cash,Other
charity monthly pledge,Other
wedding gift payment,Other
funeral contribution,Other
community event fee,Other
club membership fee,Other
association dues,Other
local permit fee,Other
document translation,Other
photo printing service,Other
key duplication service,Other
lost item replacement,Other
general service payment,Other
unclassified expense,Other
